Booking date,Quantity,Customer ID,Product ID,Channel,Landingpage,Channel_Name
01.01.2016,2,1155,204,4,8,Store
01.01.2016,2,3367,204,4,8,Store
01.01.2016,2,4825,497,1,1,Affiliate A
01.01.2016,2,95,157,4,8,Store
01.01.2018,2,6212,138,0,0,CRM
01.01.2018,3,876,140,0,0,CRM
01.01.2018,2,4596,129,0,0,CRM
01.01.2019,2,1662,75,0,0,CRM
01.01.2019,2,4672,166,0,0,CRM
01.01.2019,1,3294,72,0,0,CRM
01.01.2019,8,523,211,0,0,CRM
01.01.2019,2,8378,166,0,0,CRM
01.01.2019,2,7468,75,0,0,CRM
01.02.2012,2,788,550,3,3,SEA
01.02.2014,2,8891,609,4,6,Store
01.02.2016,2,5707,89,1,1,Affiliate A
01.02.2016,1,1285,454,3,3,SEA
01.02.2016,2,369,472,3,3,SEA
01.02.2016,1,858,411,0,0,CRM
01.02.2016,4,1293,423,3,3,SEA
01.02.2016,2,5248,107,3,3,SEA
01.02.2016,2,2089,124,4,8,Store
01.02.2016,2,2857,389,4,10,Store
01.02.2016,2,7715,411,0,0,CRM
01.02.2016,2,4555,406,4,7,Store
01.02.2016,2,2396,206,3,3,SEA
01.02.2016,2,6522,406,3,3,SEA
01.02.2017,2,8394,298,0,0,CRM
01.02.2017,3,3257,15,2,2,Direct
01.02.2017,2,7326,63,2,2,Direct
01.02.2017,2,2229,16,2,2,Direct
01.02.2017,2,1834,18,2,2,Direct
01.02.2017,2,9280,111,1,1,Affiliate A
01.02.2017,2,6489,452,3,3,SEA
01.02.2017,2,190,298,0,0,CRM
01.02.2017,2,1488,298,0,0,CRM
01.02.2017,2,8374,134,5,18,Affiliate B
01.02.2017,2,9333,162,1,1,Affiliate A
01.02.2017,2,3810,97,3,3,SEA
01.02.2017,2,45,298,0,0,CRM
01.02.2017,1,277,97,3,3,SEA
01.02.2017,2,6504,308,5,18,Affiliate B
01.02.2017,1,701,298,0,0,CRM
01.02.2017,1,8041,205,5,18,Affiliate B
01.02.2017,2,8683,205,5,18,Affiliate B
01.02.2017,2,1811,134,5,18,Affiliate B
01.02.2017,2,2229,62,2,2,Direct
01.02.2017,2,7405,202,5,18,Affiliate B
01.02.2017,1,8652,16,3,3,SEA
01.02.2017,2,9735,334,0,0,CRM
01.02.2017,2,2206,158,2,2,Direct
01.02.2017,2,5021,308,5,18,Affiliate B
01.02.2017,3,2911,18,3,3,SEA
01.02.2017,2,3850,334,0,0,CRM
01.02.2018,2,986,344,0,0,CRM
01.02.2018,2,8849,163,2,2,Direct
01.02.2018,2,7938,136,3,3,SEA
01.02.2018,2,9169,271,4,12,Store
01.02.2018,1,483,344,0,0,CRM
01.02.2018,1,277,167,0,0,CRM
01.02.2018,2,8654,540,1,1,Affiliate A
01.02.2018,2,3280,9,2,2,Direct
01.02.2018,2,3293,13,0,0,CRM
01.02.2018,2,8341,154,2,2,Direct
01.02.2018,2,1835,136,2,2,Direct
01.02.2018,2,5533,9,4,6,Store
01.02.2018,2,20,163,2,2,Direct
01.02.2019,2,2132,90,4,7,Store
01.02.2019,1,4295,190,0,0,CRM
01.02.2019,4,7137,315,1,1,Affiliate A
01.02.2019,2,2725,75,1,1,Affiliate A
01.02.2019,2,9602,231,3,3,SEA
01.03.2013,1,4325,650,0,0,CRM
01.03.2016,2,860,340,0,0,CRM
01.03.2016,1,1200,446,0,0,CRM
01.03.2016,2,7572,204,0,0,CRM
01.03.2016,1,5022,5,4,6,Store
01.03.2017,2,1697,298,4,6,Store
01.03.2017,2,7787,298,4,6,Store
01.03.2017,3,3396,298,4,6,Store
01.03.2017,2,4634,330,0,0,CRM
01.03.2017,2,1352,330,0,0,CRM
01.03.2017,2,7165,338,0,0,CRM
01.03.2017,2,6147,330,0,0,CRM
01.03.2017,1,4350,268,4,6,Store
01.03.2018,2,3572,385,0,0,CRM
01.03.2018,2,2426,385,0,0,CRM
01.03.2018,1,7324,66,0,0,CRM
01.03.2018,2,9269,66,0,0,CRM
01.03.2018,2,914,66,0,0,CRM
01.03.2018,2,1984,207,0,0,CRM
01.03.2018,2,688,271,3,3,SEA
01.03.2018,2,7085,66,0,0,CRM
01.03.2019,2,1880,82,1,1,Affiliate A
01.03.2019,2,7135,311,3,5,SEA
01.03.2019,2,7730,126,0,0,CRM
01.03.2019,2,4666,92,0,0,CRM
01.03.2019,2,8288,238,4,6,Store
01.03.2019,2,5593,126,0,0,CRM
01.03.2019,1,9986,52,0,0,CRM
01.03.2019,2,9910,361,0,0,CRM
01.03.2019,2,9447,126,0,0,CRM
01.04.2014,1,7187,516,4,6,Store
01.04.2016,2,6912,204,4,8,Store
01.04.2016,2,7924,46,0,0,CRM
01.04.2016,2,1356,46,0,0,CRM
01.04.2016,2,8568,542,1,1,Affiliate A
01.04.2017,2,4666,197,0,0,CRM
01.04.2017,4,8100,194,4,6,Store
01.04.2018,1,8165,48,0,0,CRM
01.04.2018,2,6790,329,0,0,CRM
01.04.2019,2,3967,54,0,0,CRM
01.04.2019,2,4596,56,0,0,CRM
01.04.2019,2,4747,54,0,0,CRM
01.04.2019,1,4366,23,4,8,Store
01.04.2019,2,6298,100,0,0,CRM
01.04.2019,2,8493,242,0,0,CRM
01.04.2019,2,4328,98,1,1,Affiliate A
01.04.2019,2,4439,179,4,6,Store
01.05.2016,4,6040,522,0,0,CRM
01.05.2016,3,5839,411,4,8,Store
01.05.2018,2,2120,462,0,0,CRM
01.05.2018,2,5189,207,3,3,SEA
01.05.2018,1,5407,20,0,0,CRM
01.05.2019,1,6524,52,1,1,Affiliate A
01.05.2019,2,8868,10,2,2,Direct
01.05.2019,2,1271,479,1,1,Affiliate A
01.05.2019,2,9225,190,0,0,CRM
01.05.2019,2,3471,52,4,6,Store
01.05.2019,4,7886,219,0,0,CRM
01.06.2012,2,4105,657,0,0,CRM
01.06.2015,2,9526,336,0,0,CRM
01.06.2015,2,7010,390,4,7,Store
01.06.2015,2,2575,390,4,6,Store
01.06.2016,2,6946,297,0,0,CRM
01.06.2016,2,5084,297,0,0,CRM
01.06.2016,2,6864,229,3,4,SEA
01.06.2016,1,277,522,3,4,SEA
01.06.2017,1,2752,102,0,0,CRM
01.06.2017,2,9709,2,0,0,CRM
01.06.2018,1,9970,543,0,0,CRM
01.06.2018,1,4367,182,1,1,Affiliate A
01.06.2018,3,5626,119,0,0,CRM
01.06.2018,1,6398,20,4,6,Store
01.06.2018,1,7168,169,0,0,CRM
01.06.2018,1,8671,11,0,0,CRM
01.06.2019,2,8800,239,0,0,CRM
01.06.2019,2,4615,348,0,0,CRM
01.07.2015,2,6349,241,4,6,Store
01.07.2015,1,1362,64,0,0,CRM
01.07.2016,2,6335,230,0,0,CRM
01.07.2016,2,6202,230,0,0,CRM
01.07.2016,2,3128,46,4,7,Store
01.07.2016,2,3478,130,4,6,Store
01.07.2016,1,3814,130,4,6,Store
01.07.2016,2,3594,130,4,7,Store
01.07.2016,2,4666,316,1,1,Affiliate A
01.07.2016,1,3768,254,4,15,Store
01.07.2016,1,903,316,1,1,Affiliate A
01.07.2016,2,6154,4,0,0,CRM
01.07.2016,2,2497,4,0,0,CRM
01.07.2017,1,952,76,0,0,CRM
01.07.2017,2,4536,27,0,0,CRM
01.07.2017,1,1261,102,4,7,Store
01.07.2017,4,4309,27,0,0,CRM
01.07.2017,2,3114,132,3,3,SEA
01.07.2018,5,6603,426,0,0,CRM
01.07.2018,2,2355,201,0,0,CRM
01.07.2018,1,9217,480,0,0,CRM
01.07.2018,2,661,428,3,3,SEA
01.07.2018,2,2765,208,3,3,SEA
01.07.2018,1,5754,355,4,6,Store
01.07.2018,2,5724,208,3,3,SEA
01.07.2019,2,6554,305,4,7,Store
01.07.2019,2,1848,41,0,0,CRM
01.07.2019,2,4567,430,0,0,CRM
01.07.2019,2,7662,99,4,8,Store
01.07.2019,2,611,282,0,0,CRM
01.07.2019,2,6878,482,1,1,Affiliate A
01.07.2019,2,2820,322,4,6,Store
01.07.2019,2,9038,166,4,10,Store
01.07.2019,2,9245,305,4,7,Store
01.07.2019,2,5006,430,0,0,CRM
01.07.2019,2,1128,305,4,7,Store
01.07.2019,2,6393,108,4,8,Store
01.07.2019,2,4031,482,0,0,CRM
01.07.2019,2,1782,537,3,5,SEA
01.08.2014,1,6101,886,0,0,CRM
01.08.2015,2,6804,472,0,0,CRM
01.08.2015,1,7259,509,0,0,CRM
01.08.2015,2,8760,276,1,1,Affiliate A
01.08.2016,1,2434,319,0,0,CRM
01.08.2016,2,521,146,0,0,CRM
01.08.2016,2,3622,42,0,0,CRM
01.08.2016,2,659,111,0,0,CRM
01.08.2016,2,2603,146,0,0,CRM
01.08.2016,1,7013,381,0,0,CRM
01.08.2016,2,3456,146,0,0,CRM
01.08.2016,2,9533,218,4,7,Store
01.08.2016,2,2697,254,4,8,Store
01.08.2016,2,9801,218,4,6,Store
01.08.2016,1,2072,104,0,0,CRM
01.08.2016,2,6397,878,1,1,Affiliate A
01.08.2017,2,593,178,0,0,CRM
01.08.2017,2,1647,225,4,7,Store
01.08.2017,2,8505,7,4,6,Store
01.08.2017,2,8707,7,0,0,CRM
01.08.2017,4,6180,27,4,8,Store
01.08.2017,2,2293,138,0,0,CRM
01.08.2017,6,5956,37,0,0,CRM
01.08.2017,2,5596,138,0,0,CRM
01.08.2017,5,632,306,0,0,CRM
01.08.2017,2,8380,306,0,0,CRM
01.08.2017,2,8980,27,4,6,Store
01.08.2017,2,5203,391,4,8,Store
01.08.2017,2,7132,521,4,10,Store
01.08.2017,2,8739,178,0,0,CRM
01.08.2017,1,1294,68,1,1,Affiliate A
01.08.2017,2,3608,306,0,0,CRM
01.08.2017,1,9424,43,0,0,CRM
01.08.2018,2,7034,80,0,0,CRM
01.08.2018,2,2923,80,0,0,CRM
01.08.2018,1,2660,278,0,0,CRM
01.08.2018,2,8445,335,0,0,CRM
01.08.2018,1,5052,301,4,6,Store
01.08.2018,4,4959,80,0,0,CRM
01.08.2019,2,2274,326,0,0,CRM
01.08.2019,2,8837,86,0,0,CRM
01.08.2019,2,4748,38,0,0,CRM
01.08.2019,2,5654,165,4,6,Store
01.08.2019,2,9702,58,0,0,CRM
01.08.2019,1,8903,58,0,0,CRM
01.08.2019,1,594,58,0,0,CRM
01.08.2019,2,5159,34,4,8,Store
01.08.2019,1,9480,285,3,3,SEA
01.08.2019,2,8502,34,0,0,CRM
01.08.2019,2,3569,153,0,0,CRM
01.08.2019,2,7081,86,0,0,CRM
01.08.2019,2,3958,114,0,0,CRM
01.08.2019,2,2108,221,1,1,Affiliate A
01.08.2019,2,9464,251,0,0,CRM
01.08.2019,2,1266,142,0,0,CRM
01.09.2014,2,530,843,4,6,Store
01.09.2015,4,4760,6,3,3,SEA
01.09.2015,1,4891,6,4,7,Store
01.09.2015,2,799,143,0,0,CRM
01.09.2015,1,5620,571,3,3,SEA
01.09.2016,2,7615,388,4,6,Store
01.09.2016,2,3507,218,4,8,Store
01.09.2016,2,5471,42,4,12,Store
01.09.2016,2,8353,299,3,3,SEA
01.09.2016,4,2423,218,0,0,CRM
01.09.2016,2,6408,217,0,0,CRM
01.09.2016,2,1320,237,3,3,SEA
01.09.2016,2,8949,218,0,0,CRM
01.09.2016,2,6508,218,0,0,CRM
01.09.2016,2,6312,42,4,12,Store
01.09.2016,2,994,237,3,3,SEA
01.09.2016,2,190,466,0,0,CRM
01.09.2016,2,5079,260,0,0,CRM
01.09.2017,2,1551,225,4,15,Store
01.09.2017,4,7663,36,0,0,CRM
01.09.2017,1,9701,163,0,0,CRM
01.09.2017,2,3328,36,0,0,CRM
01.09.2017,2,9688,163,0,0,CRM
01.09.2017,2,8282,7,3,4,SEA
01.09.2017,2,5388,356,3,3,SEA
01.09.2017,2,5163,163,0,0,CRM
01.09.2017,1,6295,225,4,15,Store
01.09.2017,3,5544,240,3,3,SEA
01.09.2017,1,1680,163,0,0,CRM
01.09.2017,2,7461,7,3,3,SEA
01.09.2017,2,2327,225,3,3,SEA
01.09.2017,2,6390,155,3,3,SEA
01.09.2017,4,2829,36,0,0,CRM
01.09.2017,2,1235,155,3,3,SEA
01.09.2018,3,43,224,3,3,SEA
01.09.2018,2,321,127,3,3,SEA
01.09.2018,4,6915,222,3,3,SEA
01.09.2018,2,9688,301,3,4,SEA
01.09.2018,2,9017,224,3,3,SEA
01.09.2018,2,3056,149,0,0,CRM
01.09.2018,2,9491,526,5,18,Affiliate B
01.09.2018,4,8671,23,0,0,CRM
01.09.2018,2,993,23,0,0,CRM
01.09.2018,2,4686,526,5,18,Affiliate B
01.10.2009,2,5975,1004,1,1,Affiliate A
01.10.2012,1,2998,959,4,15,Store
01.10.2013,2,3866,767,0,0,CRM
01.10.2015,2,5768,203,0,0,CRM
01.10.2015,2,8401,353,4,8,Store
01.10.2015,2,3355,89,0,0,CRM
01.10.2015,2,6626,203,4,8,Store
01.10.2015,2,5194,571,4,15,Store
01.10.2016,1,4078,109,4,12,Store
01.10.2016,2,6240,328,0,0,CRM
01.10.2016,2,8262,205,5,18,Affiliate B
01.10.2016,2,6950,110,4,6,Store
01.10.2016,4,4418,15,4,8,Store
01.10.2017,2,1735,173,2,2,Direct
01.10.2017,2,100,540,2,2,Direct
01.10.2017,2,964,11,0,0,CRM
01.10.2017,3,6222,136,2,2,Direct
01.10.2017,2,6204,138,4,15,Store
01.10.2017,2,8418,240,0,0,CRM
01.10.2017,2,2919,37,2,2,Direct
01.10.2017,2,430,11,0,0,CRM
01.10.2018,2,4794,149,3,3,SEA
01.10.2018,2,3021,467,3,4,SEA
01.10.2018,2,6505,20,0,0,CRM
01.10.2018,2,3932,216,0,0,CRM
01.10.2018,2,8782,216,0,0,CRM
01.10.2018,1,1480,527,4,6,Store
01.10.2018,2,3329,341,0,0,CRM
01.10.2018,2,8335,120,0,0,CRM
01.10.2018,2,5526,10,3,3,SEA
01.10.2018,2,4177,216,0,0,CRM
01.10.2018,2,4542,216,0,0,CRM
01.10.2018,3,1972,222,1,1,Affiliate A
01.10.2018,2,5949,281,0,0,CRM
01.10.2018,1,9814,224,1,1,Affiliate A
01.10.2018,2,8739,355,0,0,CRM
01.10.2018,2,8980,26,4,6,Store
01.10.2018,2,2582,281,0,0,CRM
01.10.2018,2,1174,120,0,0,CRM
01.10.2018,2,6356,216,0,0,CRM
01.10.2018,3,9184,23,4,8,Store
01.10.2018,2,1721,119,1,1,Affiliate A
01.10.2018,2,3886,208,0,0,CRM
01.10.2018,1,2786,216,0,0,CRM
01.10.2018,2,8280,210,0,0,CRM
01.10.2018,2,4138,301,4,10,Store
01.10.2018,2,852,160,0,0,CRM
01.10.2018,2,8341,216,0,0,CRM
01.11.2013,1,9773,603,2,2,Direct
01.11.2014,2,2577,933,2,2,Direct
01.11.2015,2,5043,50,2,2,Direct
01.11.2015,2,9372,89,2,2,Direct
01.11.2015,2,3895,389,3,4,SEA
01.11.2015,2,9229,241,2,2,Direct
01.11.2015,2,7550,206,4,7,Store
01.11.2015,2,7594,91,2,2,Direct
01.11.2015,2,1850,509,1,1,Affiliate A
01.11.2015,2,1683,226,2,2,Direct
01.11.2015,2,2085,206,4,7,Store
01.11.2015,1,691,130,0,0,CRM
01.11.2015,2,4128,206,2,2,Direct
01.11.2015,2,2614,499,3,3,SEA
01.11.2015,2,9519,206,2,2,Direct
01.11.2015,2,3296,89,2,2,Direct
01.11.2015,2,1009,130,0,0,CRM
01.11.2015,1,1276,50,2,2,Direct
01.11.2015,4,1088,157,3,3,SEA
01.11.2016,2,7254,151,2,2,Direct
01.11.2016,1,275,28,5,18,Affiliate B
01.11.2016,3,5343,18,2,2,Direct
01.11.2016,2,3182,18,2,2,Direct
01.11.2016,2,2024,18,0,0,CRM
01.11.2016,2,3079,300,3,3,SEA
01.11.2016,2,2895,217,3,3,SEA
01.11.2016,2,7304,565,0,0,CRM
01.11.2016,2,5258,3,2,2,Direct
01.11.2016,2,1157,3,2,2,Direct
01.11.2016,2,5641,28,5,18,Affiliate B
01.11.2016,2,9527,18,4,7,Store
01.11.2016,2,3554,18,0,0,CRM
01.11.2016,2,7230,474,0,0,CRM
01.11.2017,2,7552,11,3,3,SEA
01.11.2017,2,1103,140,2,2,Direct
01.11.2017,2,8948,156,0,0,CRM
01.11.2017,2,588,140,0,0,CRM
01.11.2017,3,7249,140,2,2,Direct
01.11.2017,4,8736,140,0,0,CRM
01.11.2017,2,8007,11,3,3,SEA
01.11.2017,2,6537,136,4,6,Store
01.11.2017,2,1784,49,0,0,CRM
01.11.2017,2,4391,365,2,2,Direct
01.11.2017,2,8361,386,5,18,Affiliate B
01.11.2017,1,3008,27,2,2,Direct
01.11.2017,2,1056,540,2,2,Direct
01.11.2017,1,8893,386,5,18,Affiliate B
01.11.2018,2,9891,560,5,18,Affiliate B
01.11.2018,2,7580,223,4,8,Store
01.11.2018,4,471,149,2,2,Direct
01.11.2018,2,4637,85,3,3,SEA
01.11.2018,2,221,464,2,2,Direct
01.11.2018,2,1147,85,3,3,SEA
01.11.2018,2,4268,560,5,18,Affiliate B
01.11.2018,1,1543,26,2,2,Direct
01.11.2018,2,407,211,2,2,Direct
01.11.2018,1,3680,309,3,3,SEA
01.11.2018,2,2842,150,2,2,Direct
01.11.2018,1,9557,51,0,0,CRM
01.11.2018,2,5488,51,0,0,CRM
01.11.2018,2,3759,26,2,2,Direct
01.11.2018,1,1076,150,4,6,Store
01.11.2018,2,2021,464,2,2,Direct
01.11.2018,1,4818,461,2,2,Direct
01.12.2011,2,8258,744,4,12,Store
01.12.2015,2,4596,130,4,7,Store
01.12.2015,1,381,107,0,0,CRM
01.12.2015,2,588,130,4,7,Store
01.12.2016,1,6969,215,0,0,CRM
01.12.2016,1,2655,358,5,18,Affiliate B
01.12.2016,2,4217,215,0,0,CRM
01.12.2016,2,6284,215,0,0,CRM
01.12.2016,4,7280,215,0,0,CRM
01.12.2016,1,9916,106,3,3,SEA
01.12.2016,2,1655,358,5,18,Affiliate B
01.12.2016,2,9242,218,3,3,SEA
01.12.2016,4,6312,215,0,0,CRM
01.12.2016,2,4096,358,5,18,Affiliate B
01.12.2016,2,8387,267,3,3,SEA
01.12.2016,2,4036,215,0,0,CRM
01.12.2017,2,5937,384,0,0,CRM
01.12.2017,2,2868,384,0,0,CRM
01.12.2017,2,2333,147,0,0,CRM
01.12.2017,4,6725,540,5,19,Affiliate B
01.12.2017,1,4026,147,0,0,CRM
01.12.2017,2,2783,147,0,0,CRM
01.12.2018,2,6086,258,0,0,CRM
01.12.2018,1,4005,258,0,0,CRM
01.12.2018,2,5507,53,3,3,SEA
01.12.2018,4,5096,464,3,3,SEA
01.12.2018,2,3072,186,1,1,Affiliate A
01.12.2018,4,5118,150,3,3,SEA
02.01.2012,4,7781,797,4,8,Store
02.01.2012,1,7726,699,3,4,SEA
02.01.2013,2,6871,683,0,0,CRM
02.01.2014,1,2869,784,4,8,Store
02.01.2016,2,4059,497,1,1,Affiliate A
02.01.2016,2,6245,432,4,6,Store
02.01.2016,2,2752,418,0,0,CRM
02.01.2016,1,8563,107,4,6,Store
02.01.2016,2,9788,204,0,0,CRM
02.01.2016,3,4299,204,0,0,CRM
02.01.2016,1,8775,130,4,6,Store
02.01.2016,2,7606,204,0,0,CRM
02.01.2017,2,6702,18,0,0,CRM
02.01.2017,1,5022,407,4,6,Store
02.01.2017,3,8908,215,4,6,Store
02.01.2017,3,7207,18,6,20,Affiliate C
02.01.2017,2,7110,97,0,0,CRM
02.01.2017,2,743,17,4,8,Store
02.01.2017,4,2555,215,4,8,Store
02.01.2017,6,1545,17,4,8,Store
02.01.2017,1,4886,97,0,0,CRM
02.01.2017,2,4521,452,0,0,CRM
02.01.2018,4,3332,271,3,4,SEA
02.01.2018,2,2380,225,0,0,CRM
02.01.2018,2,2339,243,0,0,CRM
02.01.2018,2,1125,163,1,1,Affiliate A
02.01.2018,2,4564,384,0,0,CRM
02.01.2018,2,8256,154,1,1,Affiliate A
02.01.2018,2,9893,294,1,1,Affiliate A
02.01.2018,1,5572,243,0,0,CRM
02.01.2018,2,9633,207,0,0,CRM
02.01.2018,4,469,243,0,0,CRM
02.01.2018,4,2536,207,0,0,CRM
02.01.2018,2,7532,243,0,0,CRM
02.01.2018,1,9694,96,0,0,CRM
02.01.2018,2,5619,207,0,0,CRM
02.01.2018,2,6497,207,0,0,CRM
02.01.2018,2,4211,207,0,0,CRM
02.01.2018,4,59,207,0,0,CRM
02.01.2018,1,3146,207,0,0,CRM
02.01.2018,2,8620,207,0,0,CRM
02.01.2018,2,7976,140,0,0,CRM
02.01.2018,2,9657,271,3,4,SEA
02.01.2019,5,5065,166,0,0,CRM
02.01.2019,2,7947,166,0,0,CRM
02.01.2019,2,3947,166,0,0,CRM
02.01.2019,2,9356,75,0,0,CRM
02.01.2019,2,7424,75,0,0,CRM
02.01.2019,2,1848,166,0,0,CRM
02.01.2019,1,7720,75,0,0,CRM
02.01.2019,2,9112,75,0,0,CRM
02.01.2019,2,3742,166,0,0,CRM
02.01.2019,2,2551,166,0,0,CRM
02.01.2019,2,4436,150,0,0,CRM
02.01.2019,2,1692,166,0,0,CRM
02.01.2019,2,8883,166,0,0,CRM
02.01.2019,2,8582,52,4,6,Store
02.01.2019,2,5407,166,0,0,CRM
02.01.2019,2,3855,166,0,0,CRM
02.01.2019,2,1486,211,0,0,CRM
02.01.2019,2,4346,166,0,0,CRM
02.01.2019,2,247,30,0,0,CRM
02.01.2019,1,7877,51,1,1,Affiliate A
02.01.2019,2,2582,150,3,5,SEA
02.01.2019,2,7050,166,0,0,CRM
02.01.2019,2,4816,166,0,0,CRM
02.01.2019,3,4445,211,0,0,CRM
02.01.2019,1,8383,150,0,0,CRM
02.01.2019,2,3658,211,0,0,CRM
02.01.2019,2,3349,211,0,0,CRM
02.01.2019,2,4382,52,4,7,Store
02.01.2019,2,8538,166,0,0,CRM
02.01.2019,2,790,166,0,0,CRM
02.01.2019,2,7125,75,4,8,Store
02.01.2019,2,7389,166,0,0,CRM
02.01.2019,2,9481,54,4,8,Store
02.01.2019,2,5117,149,1,1,Affiliate A
02.01.2019,1,7589,75,0,0,CRM
02.02.2014,2,4925,917,3,3,SEA
02.02.2016,2,9688,423,4,12,Store
02.02.2016,2,1466,406,3,3,SEA
02.02.2016,2,8117,124,4,7,Store
02.02.2016,2,8399,206,3,3,SEA
02.02.2016,8,9332,406,3,3,SEA
02.02.2016,2,8349,353,1,1,Affiliate A
02.02.2016,4,6746,376,0,0,CRM
02.02.2016,2,2571,411,0,0,CRM
02.02.2017,2,1540,15,2,2,Direct
02.02.2017,3,4170,298,2,2,Direct
02.02.2017,8,8936,298,0,0,CRM
02.02.2017,3,8675,298,0,0,CRM
02.02.2017,2,2522,443,1,1,Affiliate A
02.02.2017,4,7065,97,4,8,Store
02.02.2017,2,423,97,4,8,Store
02.02.2017,2,6594,97,4,8,Store
02.02.2017,2,484,63,4,12,Store
02.02.2017,2,3457,16,2,2,Direct
02.02.2017,2,5743,146,4,8,Store
02.02.2017,1,3094,62,0,0,CRM
02.02.2017,2,4665,18,2,2,Direct
02.02.2017,2,8089,218,4,7,Store
02.02.2017,3,9687,977,5,18,Affiliate B
02.02.2017,1,5751,334,0,0,CRM
02.02.2017,1,6579,298,2,2,Direct
02.02.2017,2,2847,172,2,2,Direct
02.02.2017,2,5847,494,5,18,Affiliate B
02.02.2017,2,1459,494,5,18,Affiliate B
02.02.2017,2,6396,494,5,18,Affiliate B
02.02.2017,2,4838,62,5,18,Affiliate B
02.02.2018,2,9573,136,2,2,Direct
02.02.2018,2,9088,163,4,6,Store
02.02.2018,2,1047,344,0,0,CRM
02.02.2018,2,2284,344,0,0,CRM
02.02.2018,2,6598,163,2,2,Direct
02.02.2018,2,8709,13,0,0,CRM
02.02.2018,2,6011,352,1,1,Affiliate A
02.02.2018,2,6045,140,4,8,Store
02.02.2018,2,1707,156,3,3,SEA
02.02.2018,2,3777,393,1,1,Affiliate A
02.02.2018,2,308,13,0,0,CRM
02.02.2018,1,9311,156,3,3,SEA
02.02.2018,2,7085,154,2,2,Direct
02.02.2018,4,6709,135,2,2,Direct
02.02.2018,2,4512,156,3,3,SEA
02.02.2018,3,7337,136,3,3,SEA
02.02.2018,2,5407,384,3,3,SEA
02.02.2018,2,3886,243,2,2,Direct
02.02.2018,2,739,13,0,0,CRM
02.02.2018,2,8052,156,3,3,SEA
02.02.2018,4,7587,156,3,3,SEA
02.02.2018,2,4108,156,3,3,SEA
02.02.2018,2,2134,271,4,8,Store
02.02.2018,2,8114,344,0,0,CRM
02.02.2018,2,6447,156,3,3,SEA
02.02.2018,4,9343,156,3,3,SEA
02.02.2019,2,9659,211,3,3,SEA
02.02.2019,2,4772,38,0,0,CRM
02.02.2019,2,8537,32,3,3,SEA
02.02.2019,2,1721,38,6,21,Affiliate C
02.02.2019,2,3539,238,3,4,SEA
02.02.2019,2,2252,72,3,3,SEA
02.02.2019,2,900,118,3,3,SEA
02.02.2019,2,745,211,2,2,Direct
02.02.2019,2,1495,211,2,2,Direct
02.02.2019,2,4161,52,4,6,Store
02.02.2019,2,2176,208,4,8,Store
02.02.2019,4,9964,211,4,8,Store
02.03.2011,2,9114,1015,4,15,Store
02.03.2013,2,5588,1007,4,12,Store
02.03.2015,2,445,620,0,0,CRM
02.03.2016,3,769,411,3,3,SEA
02.03.2016,2,7150,5,4,7,Store
02.03.2016,2,6961,204,3,3,SEA
02.03.2016,2,3996,340,0,0,CRM
02.03.2017,2,7852,18,4,7,Store
02.03.2017,2,5004,345,0,0,CRM
02.03.2017,1,9988,330,0,0,CRM
02.03.2017,2,4568,345,0,0,CRM
02.03.2017,2,2980,419,1,1,Affiliate A
02.03.2017,2,9991,298,4,6,Store
02.03.2017,2,2936,146,4,8,Store
02.03.2017,2,1266,111,1,1,Affiliate A
02.03.2018,1,8920,147,1,1,Affiliate A
02.03.2018,2,6777,207,0,0,CRM
02.03.2018,2,1758,180,0,0,CRM
02.03.2018,2,1955,95,4,7,Store
02.03.2018,4,8908,385,0,0,CRM
02.03.2018,2,8974,140,4,15,Store
02.03.2019,2,6132,126,0,0,CRM
02.03.2019,2,1755,126,0,0,CRM
02.03.2019,2,4545,126,0,0,CRM
02.03.2019,4,1029,126,0,0,CRM
02.03.2019,1,7858,190,4,6,Store
02.03.2019,2,1765,126,0,0,CRM
02.03.2019,2,4011,126,0,0,CRM
02.04.2013,2,9896,805,4,12,Store
02.04.2016,2,6438,204,4,8,Store
02.04.2017,2,1565,18,4,13,Store
02.04.2017,2,6031,578,0,0,CRM
02.04.2017,4,2288,164,4,13,Store
02.04.2017,1,4059,498,1,1,Affiliate A
02.04.2018,2,618,329,0,0,CRM
02.04.2018,4,78,140,0,0,CRM
02.04.2018,2,4944,73,1,1,Affiliate A
02.04.2019,2,3461,245,1,1,Affiliate A
02.04.2019,2,4842,54,0,0,CRM
02.04.2019,4,9703,160,0,0,CRM
02.04.2019,2,4021,149,0,0,CRM
02.04.2019,2,683,79,0,0,CRM
02.04.2019,2,5208,79,0,0,CRM
02.05.2015,2,8417,397,4,8,Store
02.05.2015,2,588,397,4,7,Store
02.05.2016,1,3394,511,1,1,Affiliate A
02.05.2016,1,9771,522,0,0,CRM
02.05.2016,2,7913,61,1,1,Affiliate A
02.05.2016,2,3378,105,3,4,SEA
02.05.2017,1,9457,68,0,0,CRM
02.05.2017,2,6991,67,0,0,CRM
02.05.2017,1,1040,3,5,18,Affiliate B
02.05.2017,2,4192,62,4,12,Store
02.05.2017,1,4998,16,0,0,CRM
02.05.2017,2,6154,439,0,0,CRM
02.05.2017,1,2163,439,0,0,CRM
02.05.2017,2,9180,439,0,0,CRM
02.05.2017,5,4284,3,0,0,CRM
02.05.2017,2,3029,164,5,18,Affiliate B
02.05.2018,2,9861,20,0,0,CRM
